                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73852,                0.44161,                 1.0013,                0.96281,                      1,                  0.995,                 0.8955,                0.77237,                0.31368,                 1.1504,              0.0011059,              0.0011059,              0.0011059
                     36,                0.69711,                0.43445,                0.96394,                0.96606,                      1,                  0.995,                 0.8955,                0.62142,                0.25568,                 1.0523,              0.0010894,              0.0010894,              0.0010894
                     37,                0.72062,                0.41883,                0.97627,                0.98561,                      1,                  0.995,                 0.8955,                0.68491,                 0.2989,                 1.1344,              0.0010729,              0.0010729,              0.0010729
                     38,                0.69884,                0.40596,                0.97417,                0.96764,                      1,                  0.995,                0.84575,                0.76973,                0.37126,                 1.1198,              0.0010564,              0.0010564,              0.0010564
                     39,                0.71441,                0.42996,                 1.0028,                0.96608,                      1,                  0.995,                 0.8955,                0.71213,                0.44881,                 1.1089,              0.0010399,              0.0010399,              0.0010399
                     40,                0.71343,                0.41761,                0.98304,                0.92568,                      1,                  0.995,                 0.8955,                0.65555,                0.51132,                 1.0393,              0.0010234,              0.0010234,              0.0010234
                     41,                0.70913,                0.42213,                0.98389,                0.93756,                      1,                  0.995,                 0.8955,                 0.6708,                0.34992,                 1.1062,              0.0010069,              0.0010069,              0.0010069
                     42,                0.76414,                0.46177,                 1.0282,                0.94954,                      1,                  0.995,                 0.8955,                0.70443,                0.30317,                 1.1232,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70272,                0.45647,                0.99419,                0.96226,                      1,                  0.995,                0.84575,                0.75729,                0.40636,                 1.1102,             0.00097386,             0.00097386,             0.00097386
                     44,                0.69133,                0.39684,                0.98482,                0.96202,                      1,                  0.995,                0.84575,                0.82943,                 0.3756,                 1.1319,             0.00095736,             0.00095736,             0.00095736
                     45,                0.69887,                0.40805,                0.97944,                0.96971,                      1,                  0.995,                 0.8955,                0.72735,                0.28918,                 1.0732,             0.00094085,             0.00094085,             0.00094085
                     46,                0.69866,                0.42924,                 0.9861,                0.96654,                      1,                  0.995,                0.94525,                0.53161,                0.28702,                 1.0202,             0.00092435,             0.00092435,             0.00092435
                     47,                0.69777,                0.37547,                0.97013,                0.96547,                      1,                  0.995,                 0.8955,                0.66554,                0.27596,                 1.0516,             0.00090785,             0.00090785,             0.00090785
                     48,                0.67585,                0.40388,                0.96674,                0.96272,                      1,                  0.995,                 0.8955,                0.63526,                0.26005,                  1.072,             0.00089134,             0.00089134,             0.00089134
                     49,                0.64479,                0.39014,                0.96592,                 0.9621,                      1,                  0.995,                 0.8955,                0.58851,                0.28385,                 1.0631,             0.00087484,             0.00087484,             0.00087484
